
 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.48259E+04  -2.07841E+04
   9.99999E-03   4.90680E+04  -2.06791E+04

 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.84233E-02   5.47417E+04  -2.07816E+04
   2.84223E-02   5.47415E+04  -2.07816E+04
   2.84213E-02   5.47413E+04  -2.07816E+04
   2.84203E-02   5.47412E+04  -2.07816E+04
   2.84193E-02   5.47410E+04  -2.07816E+04
   2.84183E-02   5.47408E+04  -2.07816E+04
   2.84173E-02   5.47406E+04  -2.07816E+04
   2.84163E-02   5.47404E+04  -2.07816E+04
   2.84153E-02   5.47402E+04  -2.07816E+04
   2.84143E-02   5.47400E+04  -2.07815E+04
   2.84133E-02   5.47398E+04  -2.07815E+04
   2.84123E-02   5.47396E+04  -2.07815E+04
   2.84113E-02   5.47394E+04  -2.07815E+04
   2.84103E-02   5.47392E+04  -2.07815E+04
   2.84093E-02   5.47390E+04  -2.07815E+04
   2.84083E-02   5.47388E+04  -2.07815E+04
   2.84073E-02   5.47386E+04  -2.07815E+04
   2.84063E-02   5.47384E+04  -2.07815E+04
   2.84053E-02   5.47382E+04  -2.07815E+04
   2.84043E-02   5.47380E+04  -2.07815E+04
   2.84033E-02   5.47378E+04  -2.07815E+04
   2.84023E-02   5.47376E+04  -2.07815E+04
   2.84013E-02   5.47374E+04  -2.07815E+04
   2.84003E-02   5.47372E+04  -2.07815E+04
   2.83993E-02   5.47370E+04  -2.07815E+04
   2.83983E-02   5.47368E+04  -2.07815E+04
   2.83973E-02   5.47366E+04  -2.07814E+04
   2.83963E-02   5.47364E+04  -2.07814E+04
   2.83953E-02   5.47362E+04  -2.07814E+04
   2.83943E-02   5.47360E+04  -2.07814E+04
   2.83933E-02   5.47358E+04  -2.07814E+04
   2.83923E-02   5.47356E+04  -2.07814E+04
   2.83913E-02   5.47354E+04  -2.07814E+04
   2.83903E-02   5.47352E+04  -2.07814E+04
   2.83893E-02   5.47351E+04  -2.07814E+04
   2.83883E-02   5.47349E+04  -2.07814E+04
   2.83873E-02   5.47347E+04  -2.07814E+04
   2.83863E-02   5.47345E+04  -2.07814E+04
   2.83853E-02   5.47343E+04  -2.07814E+04
   2.83843E-02   5.47341E+04  -2.07814E+04
   2.83833E-02   5.47339E+04  -2.07814E+04
   2.83823E-02   5.47337E+04  -2.07814E+04
   2.83813E-02   5.47335E+04  -2.07814E+04
   2.83803E-02   5.47333E+04  -2.07814E+04
   2.83793E-02   5.47331E+04  -2.07813E+04
   2.83783E-02   5.47329E+04  -2.07813E+04
   2.83773E-02   5.47327E+04  -2.07813E+04
   2.83763E-02   5.47325E+04  -2.07813E+04
   2.83753E-02   5.47323E+04  -2.07813E+04
   2.83743E-02   5.47321E+04  -2.07813E+04
   2.83733E-02   5.47319E+04  -2.07813E+04
   2.83723E-02   5.47317E+04  -2.07813E+04
   2.83713E-02   5.47315E+04  -2.07813E+04
   2.83703E-02   5.47313E+04  -2.07813E+04
   2.83693E-02   5.47311E+04  -2.07813E+04
   2.83683E-02   5.47309E+04  -2.07813E+04
   2.83673E-02   5.47307E+04  -2.07813E+04
   2.83663E-02   5.47305E+04  -2.07813E+04
   2.83653E-02   5.47303E+04  -2.07813E+04
   2.83643E-02   5.47301E+04  -2.07813E+04
   2.83633E-02   5.47299E+04  -2.07813E+04
   2.83623E-02   5.47297E+04  -2.07812E+04
   2.83613E-02   5.47295E+04  -2.07812E+04
   2.83603E-02   5.47293E+04  -2.07812E+04
   2.83593E-02   5.47291E+04  -2.07812E+04
   2.83583E-02   5.47289E+04  -2.07812E+04
   2.83573E-02   5.47287E+04  -2.07812E+04
   2.83563E-02   5.47285E+04  -2.07812E+04
   2.83553E-02   5.47284E+04  -2.07812E+04
   2.83543E-02   5.47282E+04  -2.07812E+04
   2.83533E-02   5.47280E+04  -2.07812E+04
   2.83523E-02   5.47278E+04  -2.07812E+04
   2.83513E-02   5.47276E+04  -2.07812E+04
   2.83503E-02   5.47274E+04  -2.07812E+04
   2.83493E-02   5.47272E+04  -2.07812E+04
   2.83483E-02   5.47270E+04  -2.07812E+04
   2.83473E-02   5.47268E+04  -2.07812E+04
   2.83463E-02   5.47266E+04  -2.07812E+04
